罪名	被害者に怪我をさせたか	被害者が死亡したか	酒に酔っていたか	酒気を帯びていたか	無免許だったか	自分では運転していないのか	事故を起こしてそのまま現場を離れたか	有効な自動車検査証の交付を受けていない自動車か
危険運転致死罪（自動車運転処罰法違反）	◯	◯						
危険運転致傷罪（自動車運転処罰法違反）	◯							
自動車運転過失致死罪（自動車運転処罰法違反）	◯	◯						
自動車運転過失致傷罪（自動車運転処罰法違反）	◯							
酒気帯び運転罪（道路交通法違反）				◯				
無免許運転（道路交通法違反）					◯			
アルコール等影響発覚免脱罪（自動車運転処罰法違反）								
無免許危険運転致傷罪（自動車運転処罰法違反）	◯				◯			
無免許危険運転致死罪（自動車運転処罰法違反）		◯			◯			
無免許危険運転致死罪（アルコール・薬物影響）（自動車運転処罰法違反）		◯	◯	◯	◯			
無免許危険運転致傷罪（アルコール・薬物影響）（自動車運転処罰法違反）	◯		◯	◯	◯			
無免許過失運転致死罪（自動車運転処罰法違反）		◯			◯			
無免許過失運転致傷罪（自動車運転処罰法違反）	◯				◯			
救護義務違反（道路交通法違反）							◯	
報告義務違反（道路交通法違反）							◯	
酒酔い運転罪（道路交通法違反）			◯					
酒酔い運転幇助（道路交通法違反）			◯					
酒気帯び運転幇助（道路交通法違反）				◯		◯		
道路運送車両法違反（無車検車運行）								◯
