罪名	公務員に対し有形力の行使又は害悪の告知をしたか	公務員が職務執行中であったか	公務員が当該職務を行う権限を有しており、法律上の重要な条件・方式を守っていたか	公務員にその職務と関係のある処分をさせ、若しくはさせないため、又は辞職させるために、暴行又は脅迫を加えたか	公務員が施した封緘や差し押さえの実質的な効力を失わせたか	①強制執行の対象の財産を隠したり、仮装譲渡するなどしたか、②強制執行の対象の財産の価格を減損させ又は強制執行の費用を増大させたか、③金銭債権についての強制執行を受ける可能性のある財産について社会通念を逸脱する手段・方法で譲渡をしたり担保権の設定などをしたか	強制執行を妨害する目的で行ったか	強制執行妨害目的で行うことを知って、金銭債権についての強制執行を受ける可能性のある財産について社会通念を逸脱する手段方法で譲渡をしたり担保権の設定などをすることに応じたか	①人の判断を誤らせるような術策を用いたり人の自由な意思を制圧するような力を加えて、立入りや占有者の確認など強制執行に必要な行為を妨害したか、又は②強制執行の申立てをさせず又はその申立てを取り下げさせる目的で、申立権者又はその代理人に対して暴行又は脅迫を加えたか	人の判断を誤らせるような術策を用いたり人の自由な意思を制圧するような力を加えて、強制執行において行われる売却の公正に不当な影響を及ぼしたか	自ら報酬を得、又は第三者に得させることを目的として、自分以外の債務について行ったか	人の判断を誤らせるような術策を用いたり人の自由な意思を制圧するような力を加えて、国や公共団体の競売又は入札で契約を締結するためのものの構成に不当な影響をおぼすような行為を行ったか	自由な競争によれば得られた競売の価格を殊更引き下げ又は入札の価格を殊更引き上げ、又は不正な利益を得る目的か	公の競売・入札に際し、競売人や入札人でありながら相互に通謀して、特手の者を競落者・落札者にするために、一定の価格以上あるいは以下の値を付けないようにしたか	法令により身体の自由を拘束されたのにその拘束から離脱したか	留置場や身体拘束の器具を破壊し、暴行や脅迫をし、又は二人以上で通謀して、逃走したか	法令により身体の自由を拘束された者を看守者の支配から離脱させて自己又は第三者の支配下に移したか	法令により身体の自由を拘束された者を逃走させる目的で、逃走に役立つ道具を提供するなど逃走を容易にし、又は暴行や脅迫を行ったか	法令により身体の自由を拘束された者を看守し又は護送する者がその拘束された者を逃走させたか	法定刑が罰金以上の刑を含む罪を犯した者又は法令により身体の自由を拘束されたのに逃走した者を匿ったり、逮捕発見を妨害したか	証拠を滅失させたり、偽造したり、変造したり、又は偽造若しくは変造した証拠を真正の証拠として裁判所や捜査機関に提供したりしたか	自分の刑事事件以外の刑事事件に関する証拠か	自分の刑事事件の証拠を隠滅するよう他人を唆したか	自己又は他人の刑事事件について捜査や裁判に必要な知識を有すると認められる者やその親族に対して行ったか	相手の意思に反して面会を要求したり、強いて自分の要求に応じるよう迫ったり気勢を示して相手に不安を与える行為をしたか
公務執行妨害罪	◯	◯	◯																						
職務強要罪	◯			◯																					
封印等破棄罪					◯																				
強制執行妨害目的財産損壊等罪						◯	◯	◯																	
強制執行行為妨害等罪									◯																
強制執行関係売却妨害罪										◯															
加重封印等破棄罪					◯	◯	◯	◯	◯	◯	◯														
公契約関係競売等妨害罪												◯													
談合罪													◯	◯											
逃走罪															◯										
加重逃走罪															◯	◯									
被拘禁者奪取罪																	◯								
逃走援助罪																		◯							
看守等による逃走援助罪																			◯						
犯人蔵匿等罪																				◯					
証拠隠滅等罪																					◯	◯	◯		
証人等威迫罪																								◯	◯
