参照シート名	身体や生命に関わるか	運転していたか	他人の財産や利益か	無断で建物や私有地に入ったか	本人の許可なく偽造したか	他人を欺いたか	他人の社会的評価を損ねたか	他人の自由を奪ったか	公共の危険を生じさせたか	わいせつな行為や性行為をしたか	労働や性、死者への敬意などの善良な風俗を害したか	司法、行政などの国家の作用を妨害したか	公務などの国家の作用への信頼を損ねたか	違法薬物か
身体に対する罪	◯													
交通に対する罪	◯	◯												
居住に対する罪				◯										
偽造に対する罪					◯									
財産に対する罪			◯			◯								
名誉に対する罪							◯							
自由に対する罪								◯						
公共の安全に対する罪	◯		◯						◯					
性に対する罪	◯									◯				
風俗に対する罪										◯	◯			
国家の作用に対する罪												◯	◯	
薬物犯罪														◯
その他														
