罪名	共同の目的を有する多数人が継続的に結びついて、その目的や意思を実現する行為の全部又は一部が、指揮命令に基づき任務の分担に従って構成員が一体として行動する組織により反復して行われたか	団体の意思決定に基づく活動で、その効果又はこれによる利益がその団体に帰属するものか	団体の活動として、当該罪に当たる行為を実行するための組織により行われたか	①封印等破棄、②強制執行妨害目的財産損壊等、③強制執行行為妨害等、④強制執行関係売却妨害、⑤常習賭博、⑥賭博場開帳等図利、⑦殺人、⑧逮捕及び監禁、⑨強要、⑩身代金目的略取等、⑪信用棄損及び業務妨害、⑫威力業務妨害、⑬詐欺、⑭恐喝、⑮建造物等損壊、の罪に該当する行為を行ったか	団体に、その構成員による犯罪等不正な行為により当該団体やその構成員が継続的に利益を得ることを容易にする不正権益を得させ、又は団体の不正権益を維持し、若しくは拡大する目的で、常習賭博、賭博場開帳等図利又は詐欺以外の罪を犯したか	殺人又は営利目的略取・誘拐の罪に当たる行為が、団体の活動として、その行為を実行するための組織により行われるものを犯す目的で、その予備をしたか	組織的な殺人等にあたる行為で、団体の共同の目的が組織的な殺人の罪等を実行することにあるテロリズム集団等の組織的犯罪集団の団体の活動として、組織により行われる行為の遂行を二人以上で計画したか	計画をした者のいずれかによりその計画に基づき資金又は物品の手配、関係場所の下見等計画をした犯罪を実行するための準備行為を行ったか	禁錮以上の刑のある罪に当たる行為が、団体の活動として、当該行為を実行するための組織により行われたか	①その罪を犯した者を匿った、②その罪にかかる他人の刑事事件に関する証拠を隠滅し、偽造証拠を使用した、③その罪にかかる刑事事件の捜査や審判に必要な目撃者等やその親族に対し、当該事件に関して、正当な理由がないのに面会を強請し又は強談威迫の行為をした、④その罪の刑事裁判の裁判員若しくは補充裁判員若しくはこれらだった者又はその親族に対し、面会、文書の送付、電話をかけることその他方法を問わず威迫の行為をした、⑤その罪にかかる被告事件に関し、裁判員候補者若しくは選任予定裁判員又はその親族に対し、面会、文書の送付、電話をかけることその他方法を問わず威迫の行為をした、か	禁錮以上の刑が定められている罪を、団体にその威力に基づく一定の地域または分野における支配力であって当該団体の構成員による犯罪その他の不正な行為により当該団体又はその構成員が継続的に利益を得ることを容易にする不正権益を得させ、又は団体の不正権益を維持し、若しくは拡大する目的で犯したか	①死刑又は無期若しくは長期４年以上の懲役若しくは禁錮の刑が定められている罪、②テロリズム犯罪による重大な犯罪遂行計画や証人買収や犯罪収益等隠匿、公文書偽造、収賄などの罪か	自己又は他人の刑事事件に関し、証言をしないこと、若しくは虚偽の証言をすること、又は証拠を隠滅し、偽造し、若しくは変造すること、若しくは偽造若しくは変造の証拠を使用することの報酬として、金銭その他の利益を供与し、又はその申し込み若しくは約束をしたか	団体の活動として、当該行為を実行するために組織として行われたか、又は団体に不正な権益を得させ、若しくは団体の不正権益を維持し若しくは拡大する目的で行ったか	犯罪収益若しくは薬物犯罪収益又はこれらが混和した不法収益等を用いることにより、法人等の株主等の地位を取得し、又は第三者にこれを取得させた者が、その法人等又はその子会社の事業経営を支配する目的で、その株主等の権限又はその影響力を行使したか	①法人やその子法人の役員等を選任、解任、辞任等させた、②法人やその子法人を代表するべき役員の地位を変更させた、か	不法収益等を用いることにより、法人等の株主等に対する債権を取得し又はさせた者が、当該法人等又はその子法人の事業経営を支配する目的で、当該債権の取得又は行使に関し、当該株主等にその権限又は当該権限に基づく影響力を行使して、法人の役員等を解任等させたか。	不法収益等を用いることにより、法人等の株主等に対する債権を取得しようとし、又は第三者に取得させようとする者が、その法人等又は子法人の事業経営を支配する目的で、その債権の取得又は行使に関し、株主等にその権限やこれに基づく影響力を行使させて、法人の役員を解任等させた場合で、当該債権を取得し、又は第三者に取得させたか	犯罪収益等の取得や処分について事実を仮装し、または犯罪収益等を隠匿したか	犯罪収益の発生原因について事実を仮装したか	事情を知りながら、犯罪収益等を受け取ったか	他人に成りすまして銀行の口座利用等をするため、預貯金通帳、カードなどを譲り受け、交付を受け、又は提供を受けたか	相手が他人に成りすまして銀行口座等を利用する目的があるのを知りながら、その者に預貯金通帳やカード等を譲り渡し、交付し、又は提供したか	通常の取引や金融取引として行われるものなど正当な理由がないのに、有償で、預貯金通帳やカード等を譲り渡し、交付し、又は提供したか
組織的な殺人等（組織犯罪処罰法違反）	◯	◯	◯	◯	◯																			
組織的な殺人等の予備（組織犯罪処罰法違反）						◯																		
重大犯罪遂行の計画（組織犯罪処罰法違反）							◯	◯																
組織的な犯罪に係る犯人蔵匿等（組織犯罪処罰法違反）									◯	◯	◯													
証人等買収（組織犯罪処罰法違反）												◯	◯	◯										
事業経営支配行為（組織犯罪処罰法違反）															◯	◯	◯	◯						
犯罪収益等隠匿（組織犯罪処罰法違反）																			◯	◯				
犯罪収益等収受（組織犯罪処罰法違反）																					◯			
預貯金通帳等授受（犯収法違反）																						◯	◯	◯
