罪名	被害者が財産や利益を渡したか	人を騙したか	財物を得たか	財産上不法の利益を得たか	他人の不動産を、他人の占有を排除して自己又は第三者の占有に移したか	財物・財産上の利益を得るため暴行又は脅迫を加えたか	強盗をする目的で、凶器を準備したり、下見に行くなどの準備行為をしたか	窃盗に着手して、財物を得てこれを取り返されることを防ぎ、逮捕を免れ、又は犯罪の痕跡を隠滅する目的で、暴行または脅迫を加えたか	人を負傷させたか	人を死亡させたか	不同意性交等罪を犯したか	配偶者、直系血族、親族との間で犯したものではないか	未成年者の知慮浅薄や人の心神耗弱を利用したか	財産権の得喪若しくは変更に係る電磁的記録か	電子計算機に虚偽の情報や不正な指令を与えて不実の電磁的記録を作ったか	虚偽の電磁的記録を人の事務処理の用に供したか	他人のためにその事務を処理する者か	自己若しくは第三者の利益を図ったか	事務処理を任せた者に損害を加える目的か	事務処理の任務に背く行為をしたか	本人に財産上の損害を加えたか	脅迫を加えたか	反抗を抑圧されていないか	他人の物を委託に基づいて占有しているか	業務上占有しているものか	委託の任務に背いてその物につき権限がないのに所有者でなければできない処分をしたか	遺失物、漂流物その他占有を離れた他人の物か	その物につき権限がないのに所有者でなければできない処分をしたか	盗品や財産に対する罪に当たる行為によって領得された物か	無償で譲り受けたか	運搬し、保管し、若しくは有償で譲り受け又はその有償の処分のあっせんをしたものか	盗犯は配偶者、直系血族、同居の親族若しくはこれらの者の配偶者ではないか	公務所において使用に供され又は使用の目的を持って保管されている文書又は電磁的記録か	権利又は義務に関する他人の文書又は電磁的記録か	効用を害したのか	他人の建造物又は軍艦若しくは船舶か	人を負傷させたか	人を死亡させたか	公用文書、私用文書、建造物、艦船以外の物か	土地の権利関係の限界を認識できないようにしたか	他人所有の意思を伝達する文書か	隠して他人の発見を妨げたか	目的物の燃焼を惹起し又はその原因を与えたか	現に人の起臥寝食の場所として日常使用され、又は人が現住している建造物、汽車、電車、艦船又は鉱坑か	現に人の起臥寝食の場所として日常使用されず、又は人が現住していない建造物、艦船又は鉱坑か	自己の所有か	公共の危険が生じたか	経済的な側面における人の社会的な評価を毀損したか	客観的真実に反する噂を不特定又は多数の人に伝播させたか	人を欺きあるいは人の錯誤・不知を利用したり、人を誘惑したり、計略や策略を講じたか	職業その他社会生活上の地位に基づいて継続して行う事務又は事業を妨害したか	人の意思を制圧するような勢力を用いたか	自動的に計算やデータの処理を行う電子装置に使用目的に沿うべき動作をさせず、または使用目的に反する動作をさせたか	常習として、①凶器を携帯して行った、②二人以上で現場において共同して行った、③門戸等を乗り越えたり損壊したりチェーンを開けたりして住居又は人の看守する邸宅、建造物若しくは艦船に侵入して行った、又は④夜間に人の住居又は人の看守する邸宅、建造物若しくは艦船に侵入して行ったか	常習として、今回の事件を起こす前の１０年以内に窃盗、強盗、事後強盗、昏睡強盗又はこれらの罪と他の罪との併合罪で、３回以上６月の懲役以上の刑に処せられたか	常習として起こしたか	団体若しくは多人数の威力を示し、団体若しくは多人数を仮装して威力を示し又は凶器を示し若しくは数人共同して行ったか
窃盗罪			◯									◯																																													
不動産侵奪罪					◯							◯																																													
強盗罪			◯	◯		◯																◯																																			
強盗予備罪							◯															◯																																			
事後強盗罪			◯	◯				◯														◯																																			
昏睡強盗罪			◯	◯																																																					
強盗致傷罪						◯																◯																																			
強盗致傷罪						◯			◯													◯																																			
強盗致死罪						◯				◯												◯																																			
強盗・不同意性交等罪						◯					◯											◯																																			
強盗・不同意性交等致死罪						◯				◯	◯											◯																																			
詐欺罪	◯	◯	◯	◯																																																					
電子計算機使用詐欺罪				◯										◯	◯	◯																																									
背任罪																	◯	◯	◯	◯	◯																																				
準詐欺罪	◯		◯	◯									◯																																												
恐喝罪	◯		◯	◯																		◯	◯																																		
横領罪																								◯	◯	◯																															
業務上横領罪																									◯	◯																															
遺失物等横領罪																											◯	◯																													
盗品無償譲受罪																													◯	◯		◯																									
盗品有償譲受・有償処分あっせん罪																													◯		◯	◯																									
公用文書等毀棄罪																																	◯		◯																						
私用文書等毀棄罪																																		◯	◯																						
建造物等損壊罪																																			◯	◯																					
建造物等損壊致傷罪																																			◯	◯	◯																				
建造物等損壊致死罪																																			◯	◯		◯																			
器物損壊等罪																																			◯				◯																		
境界損壊罪																																								◯																	
信書隠匿罪																																									◯	◯															
現住建造物等放火罪																																											◯	◯													
非現住建造物等放火罪																																											◯		◯												
非現住建造物等放火罪（自己所有）																																											◯		◯	◯	◯										
建造物等以外放火罪																																											◯				◯										
建造物等以外放火罪（自己所有）																																											◯				◯										
延焼罪（建造物等延焼）																																											◯		◯	◯	◯										
延焼罪（建造物等以外延焼）																																											◯			◯	◯										
信用毀損罪																																																◯	◯	◯							
偽計業務妨害罪																																																		◯	◯						
威力業務妨害罪																																																			◯	◯					
電子計算機損壊等業務妨害罪																																																			◯		◯				
常習特殊窃盗罪（盗犯等防止法違反）			◯																																																			◯			
常習特殊強盗罪（盗犯等防止法違反）			◯	◯		◯		◯																																														◯			
常習累犯窃盗（盗犯等防止法違反）			◯																																																				◯		
常習累犯強盗（盗犯等防止法違反）			◯	◯		◯		◯																																															◯		
常習強盗傷人罪（盗犯等防止法違反）			◯	◯		◯		◯	◯																																															◯	
常習強盗・不同意性交等罪（盗犯等防止法違反）			◯	◯		◯		◯			◯																																													◯	
集団的な毀棄（暴力行為等処罰法違反）																																			◯				◯																		◯
常習的な毀棄（暴力行為等処罰法違反）																																			◯				◯																	◯	
