　	被害者に有形力を行使したか	被害者に怪我をさせたか	被害者が死亡したか	業務中だったか	運転していたか	金品を持ち出したか	自分で被害者に暴行したわけではないのか	被害者に胎児もいるか	被害者は同意したか	遺棄したか	生存に必要な保護をしなかったか	保護責任者か	団体若しくは多人数の威力を示し、団体若しくは多人数を仮装して威力を示し又は凶器を示し若しくは数人共同して行ったか	銃砲又は刀剣を用いたか	常習として行ったか	殺人、傷害、脅迫、強要、威力業務妨害、建造物等損壊、器物損壊の罪又は公務執行妨害罪を犯させる目的で、金品等財産上の利益若しくは職務を供与し又はその申し込み若しくは約束をした者及び事情を知って供与を受け又はその要求若しくは約束をしたか
殺人罪	◯	◯	◯													
殺人未遂罪	◯	◯														
強盗殺人罪	◯	◯	◯			◯										
強盗傷害罪	◯	◯				◯										
傷害致死罪		◯	◯													
傷害罪		◯														
過失傷害罪		◯														
業務上過失致死罪		◯	◯	◯												
業務上過失傷害罪		◯		◯												
窃盗						◯										
強盗罪	◯					◯										
過失致死罪			◯													
過失運転致傷（自動車運転処罰法違反）		◯			◯											
過失運転致死（自動車運転処罰法違反）			◯		◯											
暴行罪	◯															
重過失致死			◯													
重過失致傷		◯														
危険運転致死（自動車運転処罰法違反）			◯		◯											
危険運転致傷（自動車運転処罰法違反）		◯			◯											
自殺関与・同意殺人			◯				◯		◯							
現場助勢							◯									
凶器準備集合							◯									
堕胎								◯								
同意堕胎								◯	◯							
業務上堕胎				◯				◯	◯							
業務上堕胎致死			◯	◯				◯	◯							
業務上堕胎致傷		◯		◯				◯	◯							
不同意堕胎								◯								
不同意堕胎致死			◯					◯								
不同意堕胎致傷		◯						◯								
遺棄										◯						
保護責任者遺棄										◯	◯	◯				
遺棄致死			◯							◯						
遺棄致傷		◯								◯						
保護責任者遺棄致死			◯							◯	◯	◯				
保護責任者遺棄致傷		◯								◯	◯	◯				
集団的な暴行（暴力行為等処罰法違反）	◯												◯			
銃砲等による傷害（暴力行為等処罰法違反）		◯												◯		
常習的な傷害（暴力行為等処罰法違反）		◯													◯	
常習的な暴行（暴力行為等処罰法違反）	◯														◯	
集団による殺人等のための利益の供与・収受（暴力行為等処罰法違反）													◯			◯
