罪名	不特定又は多数の人が認識できる状態でわいせつな行為を行ったか	わいせつな文章やわいせつなデータを保存した物を不特定又は多数の人に交付したか、又はわいせつなデータを不特定又は多数の人に送信したか	わいせつな文章やわいせつなデータを保存した物の内容を不特定又は多数の者が認識できる状態に置いたか	有償で頒布する目的で、わいせつな文書等を所持し、又はわいせつなデータが記録された物を保管したか	営利の目的で、淫らな性行為をする常習性のない女性を、勧誘して性交させたか。	配偶者がいるのに他の者との婚姻届けをしたか。	配偶者がいるものとの婚姻届けを出したか。	偶然の事情に関して財物を賭け、勝敗を争ったか。	一時的な娯楽のために物を賭けたのではないか。	反復して賭博行為をしたか	自ら主催者となって賭博を行う場所を設営したか	常習又は職業的に賭博を行う者を集めたか	賭博をする者から手数料等の名目で利益を得ようとしたか	複数の者から金品を集め、抽選で当選者を決め、当選者に利益を与えるくじ札を発売したか	複数の者から金品を集め、抽選で当選者を決め、当選者に利益を与えるくじ札の売却の周旋をしたか。	複数の者から金品を集め、抽選で当選者を決め、当選者に利益を与えるくじ札を授受したか	仏堂などの礼拝所に対し、不特定多数が認識できる状態で、神聖ないし尊厳を害すべき行為をしたか。	宗旨・協議を開設する説教、礼拝、葬式の円滑な挙行を妨げたか	人の死体又は遺骨・遺品等を埋葬して記念する場所の覆土の全部又は一部を除去し、若しくは破壊したか	死体、遺骨、遺髪又は棺に納めてある物を破壊し、社会通念上埋葬とは認められない態様で遺棄し、又は不法に取得したか	検視をせずに変死者を葬ったか	売春をする目的で、公衆の目に触れるような方法で売春の相手方となるように勧誘し、売春の相手方となるように勧誘するために道路等公共の場所で人の身辺に立ちふさがったりつきまとったりし、公衆の目に触れるような方法で客待ちをしたり広告等により売春の相手方になるよう誘引したか	売春の周旋をしたか	売春の周旋をする目的で、売春の相手方となるように勧誘し、売春の相手方となるように勧誘するために道路等公共の場所で人の身辺に立ちふさがったりつきまとったりし、広告等により売春の相手方になるよう誘引したか	人を欺き若しくは困惑させて売春をさせ、又は親族関係による影響力を利用して売春をさせたか	人を脅迫し、又は人に暴行を加えて売春をさせたか	売春の代金等の全部もしくは一部を収受し、又は渡すよう要求し、若しくは渡す約束した	売春をした者に対し、親族関係による影響力を利用して、売春の対価の全部又は一部を渡すよう要求したか	売春をさせる目的で、前貸し等により金品等の利益を与えたか	人に売春をさせることを内容とする契約をしたか	売春が行われることを知りながら、売春を行う場所を提供したか	営利目的をもって繰り返し行うつもりで行ったか	人を自己の占有し若しくは管理する場所又は自己の指定する場所に居住させ売春させることを、営利目的をもって繰り返し行っていたか	売春が行われることを知って、売春を行う場所を提供する事業に必要な資金土地又は建物を提供したか	人を自己の占有し若しくは管理する場所又は自己の指定する場所に居住させ売春させる事業に必要な資金土地又は建物を提供したか
公然わいせつ罪	◯																																		
わいせつ物頒布等罪		◯	◯																																
有償頒布目的わいせつ物所持罪				◯																															
淫行勧誘罪					◯																														
重婚罪						◯	◯																												
賭博罪								◯	◯																										
常習賭博罪								◯	◯	◯																									
賭博場開帳等図利罪											◯	◯	◯																						
富くじ発売等罪														◯																					
富くじ発売取次罪															◯																				
富くじ授受罪																◯																			
礼拝所不敬罪																	◯																		
説教等妨害罪																		◯																	
墳墓発掘罪																			◯																
死体損壊等罪																				◯															
墳墓発掘死体損壊等罪																			◯	◯															
変死者密葬罪																					◯														
売春勧誘等（売春防止法違反）																						◯													
売春周旋等（売春防止法違反）																							◯	◯											
困惑等による売春（売春防止法違反）																									◯	◯									
売春対償収受等（売春防止法違反）																									◯	◯	◯	◯							
売春費用前貸等（売春防止法違反）																													◯						
売春をさせる契約（売春防止法違反）																														◯					
売春場所の提供（売春防止法違反）																															◯				
業としての売春場所の提供（売春防止法違反）																															◯	◯			
売春をさせる業（売春防止法違反）																																	◯		
売春資金等の提供（売春防止法違反）																																		◯	
売春資金等の提供（売春をさせる業）（売春防止法違反）																																			◯
