ID（通し番号）	罪名	前科の有無・内容	示談の有無・示談金額	犯行の罪質	行為態様	わいせつの中身	勧誘被害者の数	頒布の規模	賭博・賭博場の規模	売春の規模	売春・勧誘組織内の位置づけ	常習性	動機・犯行に至る経緯（かわいそう度）	被害者・遺族の被害感情	社会的影響	犯人の年齢	犯行後の情状
											淫行勧誘・各売春事件について					若いほど更生可能性ありと判断	反省の程度・内容、被害者・遺族への対応、近親者・職場等の受容・監督、再犯防止活動、そのボランティア等の社会的活動
	公然わいせつ罪																
	わいせつ物頒布等罪																
	有償頒布目的わいせつ物所持罪																
	淫行勧誘罪																
	重婚罪																
	賭博罪																
	常習賭博罪																
	賭博場開帳等図利罪																
	富くじ発売等罪																
	富くじ発売取次罪																
	富くじ授受罪																
	礼拝所不敬罪																
	説教等妨害罪																
	墳墓発掘罪																
	死体損壊等罪																
	墳墓発掘死体損壊等罪																
	変死者密葬罪																
	売春勧誘等（売春防止法違反）																
	売春周旋等（売春防止法違反）																
	困惑等による売春（売春防止法違反）																
	売春対償収受等（売春防止法違反）																
	売春費用前貸等（売春防止法違反）																
	売春をさせる契約（売春防止法違反）																
	売春場所の提供（売春防止法違反）																
	業としての売春場所の提供（売春防止法違反）																
	売春をさせる業（売春防止法違反）																
	売春資金等の提供（売春防止法違反）																
	売春資金等の提供（売春をさせる業）（売春防止法違反）																
