	行使の目的があるか	通貨を偽造又は変造したか	日本国内に流通する外国の通貨を偽造又は変造したか	偽造又は変造された通貨を収得したか	偽造又は変造された通貨を行使又は交付したか	収得した後で偽造又は変造された通貨であると知ったか	通貨偽造に供する目的で器械や原料を準備したか	御璽、国璽若しくは御名を使用して詔書等を偽造し又は御璽、国璽を押し若しくは御名を署した詔書等か	文書を偽造・変造したか	公務所若しくは公務員の印章若しくは署名を使用したか	公文書か	公務員か	内容が虚偽の公文書を作成したか	電磁的記録か	公務員に虚偽の申立てをしたか	権利若しくは義務に関する公正証書の原本に不実の記載又は記録をさせたか	偽造された文書を行使したか	権利義務若しくは事実証明に関する文書・電磁的記録か	他人の印章若しくは署名を使用したか	医師であるにもかかわらず公務所に提出すべき診断書、検案書または死亡証書に虚偽の記載をしたか	私文書又は虚偽診断書か	人の事務処理を誤らせる目的だったか	人の事務処理の用に供する権利、義務または事実証明に関する電磁的記録か	公務所又は公務員によりつくられるべき電磁的記録か	不正に作られた電磁的記録を人の事務処理の用に供したか	有価証券を偽造又は変造したか	偽造・変造した有価証券を行使したか	偽造・変造した有価証券を行使の目的で交付、輸入したか	人の財産上の事務処理を誤らせる目的か	クレジットカード等の代金又は料金の支払用カードの電磁的記録か	不正に作ったか	不正に作られた支払用カード電磁的記録を人の財産上の事務処理の用に供したか	不正に作られた支払用カード電磁的記録が入っているカードか	支払用カードを譲り渡し、貸渡し、または輸入したか	支払用カードを所持したか
通貨偽造罪	◯	◯																																	
偽造通貨行使罪																																			
外国通貨偽造罪	◯		◯																																
偽造外国通貨行使罪					◯																														
偽造通貨等収得罪				◯																															
収得後知情行使罪				◯	◯	◯																													
通貨偽造等準備罪							◯																												
詔書偽造罪	◯							◯																											
有印公文書偽造罪	◯								◯	◯	◯																								
無印公文書偽造罪	◯								◯		◯																								
虚偽公文書作成罪	◯											◯	◯																						
公正証書原本不実記載罪											◯				◯	◯																			
電磁的公正証書原本不実記録罪														◯	◯	◯																			
偽造公文書等行使罪											◯						◯																		
有印私文書偽造罪	◯								◯									◯	◯																
無印私文書偽造罪	◯								◯									◯																	
虚偽診断書等作成罪																				◯															
偽造私文書等行使罪																	◯				◯														
電磁的記録不正作出・供用罪														◯				◯				◯	◯		◯										
公電磁的記録不正作出罪														◯				◯				◯	◯	◯											
有価証券偽造罪	◯																									◯									
偽造有価証券行使罪																											◯								
偽造有価証券交付等罪														◯														◯							
支払用カード電磁的記録不正作出等罪														◯															◯	◯	◯	◯			
不正作出支払用カード電磁的記録譲渡等罪														◯															◯	◯			◯	◯	
不正電磁的記録カード所持罪																													◯	◯			◯		◯
支払用カード電磁的記録不正作出準備罪																																			
御璽偽造罪	◯																																		
御璽不正使用罪																																			
公印偽造罪	◯																																		
公印不正使用罪																																			
公記号偽造罪	◯																																		
公記号不正使用罪																																			
私印偽造罪	◯																																		
私印不正使用罪																																			
不正指令電磁的記録作成罪																																			
不正指令電磁的記録供用罪																																			
不正指令電磁的記録取得罪																																			
偽証罪																																			
虚偽鑑定罪																																			
虚偽告訴罪																																			
