罪名	多数人が時と場所を同じくして集まり、暴行又は脅迫をしたか	騒乱行為の主導者か	多衆の全部又は一部に対し指揮を執った者又は騒乱を容易にさせその勢いを助長増大する行為をした者か	群集心理に駆られ付和雷同的に騒乱行為に参加した者か	暴行又は脅迫をするため多数人が時と場所を同じくして集まったか	解散命令権のある公務員から解散の命令を3回以上受けたか	多衆の集合状態を解散しなかったか	目的物の燃焼を惹起させ又は原因力を与える行為をしたか	現に人の起臥寝食の場所として日常使用され、又は人が現住している建造物、汽車、電車又は鉱坑か	現に人の起臥寝食の場所として日常使用され、又は人が現住している艦船か	火が放火の媒介物を離れて客体に燃え移り独立して燃焼を継続する状態に達したか	自分以外の者が起臥寝食の場所として使用せず、現在しない建造物、艦船又は鉱坑か	自己所有物であり、差し押さえを受けたり、物権を負担したり、賃貸したり、配偶者居住権が設定されていたり、保険に付されたものではないか	不特定多数の人の生命・身体・財産に脅威を及ぼす状態が生じているか	現に人の起臥寝食の場所として日常使用され若しくは人が現住している建造物、汽車、電車、艦船若しくは鉱坑又は自分以外の者が起臥寝食の場所として使用せず現在しない建造物、艦船若しくは鉱坑、に火が燃え移って独立して燃焼を継続する状態にさせたか	現に人の起臥寝食の場所として日常使用され若しくは人が現住している建造物、汽車、電車、艦船若しくは鉱坑又は自分以外の者が起臥寝食の場所として使用せず現在しない建造物、艦船若しくは鉱坑以外の物火が燃え移って独立して燃焼を継続する状態にさせたか	火災の際に、消火用の物を隠匿し、又は損壊するなどして、消化を妨害したか	火気の取り扱いの注意を怠り出火したか	火薬、ボイラー等の急激に破裂する性質を持つ物を急速かつ激烈に膨張させ、物質的に毀損しその効用を失わせたか	過失により火薬、ボイラー等の急激に破裂する性質を持つ物を急速かつ激烈に膨張させ、物質的に毀損しその効用を失わせたか	業務上必要な注意を怠ったことに寄ること又は重大な過失があったか	ガス、電気又は蒸気を漏出させ、流出させ、又は遮断したか	人の生命、身体又は財産に危険を生じさせたか	人を死亡させたか	人を負傷させたか	制限されている水の自然力を解放して氾濫させ、水力により流失あるいは損壊し、またはその効用を減損させたか	水害の際に、水防用の物を隠匿し、損壊する等して水防を妨害したか	過失によるか	堤防を決壊させ、水門を破壊する等現実に水利を妨害するおそれのある行為又は出水を惹起する危険のある行為をしたか	陸路、水路又は橋を物質的に破壊して効用を害し、又は有形の障害物を置いて遮断したか	汽車、電車又は艦船の往来の安全を害する状態にしたか	汽車若しくは電車を転覆させ、若しくは破壊し、又は艦船を転覆させ、沈没させ、若しくは破壊したか	現に人がいる汽車、電車又は艦船か	不特定又は多数の人の飲料に供することが予定されている清潔な水を不潔にして飲料水として使用できなくしたか	水道により不特定又は多数の人に供給する飲料用の清潔な水又は水道に流入する前の水を不潔にして飲料水として使用できなくしたか	不特定又は多数の人の飲料に供することが予定されている清潔な水に毒物等人の健康を害する虞のある物を混入したか	水道により不特定又は多数の人に供給する飲料用の清潔な水又は水道に流入する前の水に毒物等人の健康を害する虞のあるものを混入したか	不特定又は多数の人に飲料水として供給する清潔な水の水道を破壊し、又は遮断して供給を不可能又は著しく困難にしたか
騒乱罪	◯	◯	◯	◯																																		
多衆不解散罪					◯	◯	◯																															
現住建造物等放火罪								◯	◯	◯	◯																											
非現住建造物等放火罪								◯			◯	◯																										
非現住建造物等放火罪（自己所有）								◯			◯	◯	◯	◯																								
建造物等以外放火罪								◯			◯			◯																								
建造物等以外放火罪（自己所有）								◯			◯		◯	◯																								
延焼罪（建造物等延焼）								◯			◯	◯	◯	◯	◯																							
延焼罪（建造物等以外延焼）								◯			◯		◯	◯	◯	◯																						
消化妨害罪																	◯																					
失火罪										◯		◯						◯																				
失火罪（自己所有）												◯	◯	◯				◯																				
激発物破裂罪										◯		◯	◯						◯																			
激発物破裂罪（自己所有・建造物等以外）													◯	◯					◯																			
過失激発物破裂罪										◯		◯								◯																		
過失激発物破裂罪（自己所有・建造物等以外）												◯	◯	◯						◯																		
業務上失火等罪										◯		◯	◯	◯				◯		◯	◯																	
ガス漏出等罪																						◯	◯															
ガス漏出等致死罪																						◯		◯														
ガス漏出等致傷罪																						◯			◯													
現住建造物等浸害									◯																	◯												
非現住建造物等浸害														◯												◯												
水防妨害罪																											◯											
過失建造物等浸害									◯					◯														◯										
水利妨害及び出水危険罪																													◯									
往来妨害罪																														◯								
往来妨害致死罪																								◯						◯								
往来妨害致傷罪																									◯					◯								
往来危険罪																															◯							
汽車転覆等罪																																◯	◯					
汽車転覆等致死罪																								◯								◯	◯					
往来危険による汽車転覆等罪																															◯	◯						
往来危険による汽車転覆等致死罪																								◯														
過失往来危険罪																												◯				◯						
業務上過失往来危険罪																					◯							◯			◯	◯						
浄水汚染罪																																		◯				
水道汚染材																																			◯			
浄水毒物等混入罪																																				◯		
浄水毒物等混入致傷罪																									◯											◯		
浄水毒物等混入致死罪																								◯												◯		
水道毒物等混入罪																																					◯	
水道毒物等混入致死罪																								◯													◯	
水道損壊及び閉塞罪																																						◯
