罪名	暴行若しくは脅迫、アルコール若しくは薬物の影響があること、経済的又は社会的関係上の地位に基づく影響力によって受ける不利益を憂慮させること又はそれを憂慮していること、等に乗じて、同意しない又は不同意を表明することを困難にしたか	行為がわいせつなものではないとの誤信をさせ、若しくは行為をする者について人違いをさせ、又はそれらの誤信若しくは人違いをしていることに乗じたか	相手は１３歳未満か	相手は１３歳以上１６歳未満で、自分は相手が生まれた日より５年以上前の日に生まれたか	性欲を刺激、興奮又は満足させ、かつ、普通人の性的羞恥心を害し、善良な性的道義観念に反する行為を行ったか	性交、肛門性交、口腔性交又は膣若しくは肛門に身体の一部（陰茎を除く。）若しくは物を挿入する行為であってわいせつなものをしたか	１８歳未満の者に対し、その者を現に監護する者であることによる影響力があることに乗じたか	人を負傷させたか	人を死亡させたか	わいせつの目的で、威迫し、偽計を用い又は誘惑して面会を要求したか	わいせつの目的で、拒まれたにもかかわらず、反復して面会を要求したか	わいせつの目的で、金銭等を渡し、又はその申し込み若しくはその約束をして面会を要求したか	面会要求罪を犯したうえで、わいせつの目的で当該相手と面会したか	性交、肛門性交又は口腔性交をする姿態をとってその映像を送信することを要求したか	膣又は肛門に身体の一部（陰茎を除く）又は物を挿入し又は挿入される姿態、性的な部位（性器若しくは肛門若しくはこれらの周辺部、臀部又は胸部）を触り又は触られる姿態、性的な部位を露出した姿態等の姿態をとってその映像を送信することを要求したか	正当な理由がないのに、ひそかに撮影したか	自ら露出しているものではないか	人の性的な部位（性器若しくは肛門若しくはこれらの周辺部、臀部又は胸部）又は人が身に着けている下着で性的な部位を覆っている部分を撮影したか	わいせつな行為又は性交等がされている人の姿態を撮影したか	行為の性質が性的なものではないとの誤信をさせ、若しくは特定の者以外の者が閲覧しないとの誤信をさせ、又はそれらの誤信をしていることに乗じたか	正当な理由がないのに、１３歳未満又は１３歳以上１６歳未満で、自分は相手が生まれた日より５年以上前の日に生まれた者を撮影したか	性的影像記録を提供したか	性的影像記録を不特定多数の者に提供し、または公然と陳列したか	性的影像記録を提供し、または公然と陳列する目的で、性的影像記録を保管したか	不特定又は多数の者に対し、性的姿態等の影像の影像送信をしたか	正当な理由がないのに、送信されることを知らない者の対象性的姿態等の影像の影像送信をしたか	同意しないことや不同意を示すことが困難な状態に乗じて、人の対象性的姿態等の影像の影像送信をしたか	行為の性質が性的なものではないとの誤信をさせ、若しくは不特定若しくは多数の者に送信されないとの誤信をさせ、又はそれらの誤信をしていることに乗じて、人の対象性的姿態等の影像の影像送信をしたか	１３歳未満又は１３歳以上１６歳未満で、自分は相手が生まれた日より５年以上前の日に生まれた者の性的姿態等の影像の影像送信をしたか	性的姿態等影像送信の罪に当たる行為により影像送信をされた影像と知って、不特定又は多数の者に対し、この影像の影像送信をしたか	性的姿態等影像送信の罪に当たる行為により影像送信をされた影像と知って、影像送信をされた影像を記録したか	１８歳未満の児童に対し、児童を単に自己の性的欲望を満足させるための対象として扱っているとしか認められないような、児童の心身の健全な育成を阻害するおそれがあると認められる性交又はこれに準ずる性交類似行為を、児童に対する事実上の影響力を行使して助長し促進させたか	対象が１８歳未満の児童であり、行為前に相手方が児童と知っていたか	１８歳未満の児童、児童に対する性交等の周旋をした者、児童の保護者又は児童をその支配下に置いている者に対し、当該児童と性交等をする前に、金銭等の対償を供与し、又はその供与の約束をしたか	１８歳未満の児童に対し、性交等（性交若しくは性交類似行為をし、又は自己の性的好奇心を満たす目的で、児童の性器等（性器、肛門又は乳首）を触り、若しくは児童に自己の性器等を触らせること）をしたか	①児童の性交又は性交類似行為に係る児童の姿態、②他人が児童の性器等を触る行為又は児童が他人の性器等を触る行為に係る児童の姿態であって性欲を興奮させ又は刺激するもの、又は③衣服の全部または一部を付けない児童の姿態であって、殊更に児童の性的な部位が露出され又は強調されているものであり、かつ、性欲を興奮させ又は刺激するもの、か	児童買春を周旋したか	業として行ったか	児童買春の周旋をする目的で、人に児童買春をするように勧誘したか	①１８歳未満の児童の性交又は性交類似行為に係る児童の姿態、②他人が児童の性器等を触る行為又は児童が他人の性器等を触る行為に係る児童の姿態であって性欲を興奮させ又は刺激するもの、③衣服の全部又は一部を付けない児童の姿態であって、殊更に児童の性的な部位（性器等若しくはその周辺部、臀部又は胸部）が露出され又は強調されているものであり、かつ、性欲を興奮させ又は刺激するもの、か	写真、DVD等電磁的記録に係る記録媒体であって、児童の姿態を視覚により認識することができる方法により描写したものか	行為時に描写されている者が１８歳未満だと知っていたか	自己の性的好奇心を満たす目的で、自己の意思に基づいて児童ポルノを所持したか	自己の性的好奇心を満たす目的で、自己の意思に基づいて、児童ポルノの情報を記録した電磁的記録を保管したか	児童ポルノ又は児童ポルノの情報を記録した電磁的記録その他の記録を提供したか	児童ポルノを提供する目的で、児童ポルノを製造し、所持し、運搬し、本邦に輸入し、又は本邦から輸出したか、児童ポルノの情報を記録した電磁的記録を保管したか	写真、電磁的記録に係る記憶媒体等の物に、児童ポルノに該当する児童の姿態をとらせてこれを描写し、又はひそかに児童ポルノに該当する児童の姿態を描写したか	児童ポルノを不特定又は多数の者に提供し又は公然と陳列したか、	インターネット等の電気通信回線を通じて児童ポルノの情報を記録した電磁的記録などの記録を不特定又は多数の者に提供したか	児童ポルノを不特定又は多数の者に提供し若しくは公然と陳列するか、又はインターネット等の電気通信回線を通じて児童ポルノの情報を記録した電磁的記録などの記録を不特定又は多数の者に提供する目的か	児童を児童買春における性交等の相手方とさせ又は児童ポルノを製造する目的でその児童を売買したか	①性交又は性交類似行為に係る人の姿態、②他人が人の性器等を触る行為又は人が他人の性器等を触る行為に係る人の姿態であって性欲を興奮させ又は刺激するもの、又は③衣服の全部または一部を付けない人の姿態であって、殊更に人の性的な部位が露出され又は強調されているものであり、かつ、性欲を興奮させ又は刺激するもの、か	人の姿態が撮影された画像に係る電磁的記録等の記録で、撮影の対象とされた撮影対象者において撮影をしたもの、撮影対象者及び撮影対象者から提供を受けた者以外の第三者が閲覧することを認識したうえで、任意に撮影を承諾し又は撮影したものではないか	第三者が撮影対象を特定することができる方法で、電気通信回線を通じて私事性的画像記録を不特定又は多数の者に提供したか	第三者が撮影対象を特定することができる方法で、私事性的画像を記録した物を不特定若しくは多数の者に提供し又は公然と陳列したか	私事性的画像記録提供・公然陳列をさせる目的で、電気通信回線を通じて私事性的画像記録を提供し、又は私事性的画像記録物を提供したか	１８歳未満の青少年に対し、拒まれたにもかかわらず、当該青少年に係る児童ポルノや児童ポルノの情報を記録した電磁的記録の提供を行うよう求めたか	１８歳未満の青少年を威迫し、欺き、若しくは困惑させ、又は青少年に対し対償を供与し、若しくはその供与の約束をする方法により、当該青少年に係る児童ポルノや児童ポルノの情報を記録した電磁的記録の提供を行うように求めたか	１８歳未満の青少年に対し、青少年を誘惑し、威迫し、欺罔し又は困惑させる等その心身の未成熟に乗じた不当な手段により行う性交又は性交類似行為のほか、青少年を単に自己の性的欲望を満足させるための対象として扱つているとしか認められないような性交又は性交類似行為をしたか	公共の場所又は公共の乗物において、衣服その他の身に着ける物の上から又は直接に人の身体に触れたか	①住居、便所、浴場、更衣室等人が通常衣服の全部または一部を付けない状態でいるような場所、②学校、タクシー等不特定又は多数の者が利用し、又は出入りする場所又は乗物、における人の着ている下着又は身体を、写真機などを用いて撮影し、又は撮影する目的で写真機などを差し向け、もしくは設置したか	公共の場所又は公共の乗物において、社会通念上性的道義観念に反する下品でみだらな言語又は所作をしたか
不同意わいせつ罪	◯	◯	◯	◯	◯																																																									
不同意性交等罪	◯	◯	◯	◯		◯																																																								
監護者わいせつ罪					◯		◯																																																							
監護者性交等罪						◯	◯																																																							
不同意わいせつ致傷罪	◯	◯	◯	◯	◯		◯	◯																																																						
不同意わいせつ致死罪	◯	◯	◯	◯	◯		◯		◯																																																					
不同意性交等致傷罪						◯	◯	◯																																																						
不同意性交等致死罪						◯	◯		◯																																																					
面会要求等罪			◯	◯						◯	◯	◯																																																		
わいせつ目的面会罪			◯	◯						◯	◯	◯	◯																																																	
わいせつ映像送信要求罪			◯	◯										◯	◯																																															
性的姿態等撮影罪（性的姿態撮影等処罰法違反）	◯															◯	◯	◯	◯	◯	◯																																									
性的影像記録提供等罪（性的姿態撮影等処罰法違反）																						◯	◯																																							
性的影像記録保管罪（性的姿態撮影等処罰法違反）																								◯																																						
性的姿態等影像送信罪（性的姿態撮影等処罰法違反）																									◯	◯	◯	◯	◯	◯																																
性的姿態等影像記録罪（性的姿態撮影等処罰法違反）																															◯																															
児童福祉法違反																																◯																														
児童買春（児ポ法違反）																																	◯	◯	◯	◯																										
児童買春周旋（児ポ法違反）																																	◯				◯																									
業務上児童買春周旋（児ポ法違反）																																	◯				◯	◯																								
児童買春勧誘（児ポ法違反）																																	◯						◯																							
業務上児童買春勧誘（児ポ法違反）																																	◯					◯	◯																							
児童ポルノ所持（児ポ法違反）																																	◯							◯	◯	◯	◯	◯																		
児童ポルノ提供（児ポ法違反）																																	◯							◯	◯	◯			◯																	
提供目的児童ポルノ製造等（児ポ法違反）																																	◯																													
児童ポルノ製造（児ポ法違反）																																	◯														◯															
児童ポルノ公然陳列（児ポ法違反）																																	◯												◯			◯	◯													
児童ポルノ輸入等罪（児ポ法違反）																																	◯													◯																
公然陳列目的児童ポルノ輸入等罪（児ポ法違反）																																	◯													◯				◯												
児童買春目的等人身売買（児ポ法違反）																																	◯																		◯											
リベンジポルノ法違反																																																				◯	◯	◯	◯	◯						
青少年に対するみだらな性交等の禁止違反（青少年健全育成条例違反）																																																											◯			
青少年に児童ポルノ等を求める行為の禁止（青少年健全育成条例違反）																																																									◯	◯				
盗撮（迷惑防止条例違反）																																																													◯	
痴漢（迷惑防止条例違反）																																																												◯		
卑わいな言動（迷惑防止条例違反）																																																														◯
