罪名	本人又は親族の生命、身体、自由、名誉又は財産に対し害を加える旨を告知して脅迫したか	人に義務のないことを行わせ、又は権利の行使を妨害したか	人の身体に対して直接的な拘束を加えてその行動の自由を奪い又は人が一定の区域から出ることを不可能若しくは困難にしてその行動の自由を奪ったか	人を負傷させたか	人を死亡させたか	暴行脅迫等の強制的手段を用いる等人の意思を抑制し又は偽計誘惑を手段とする等人に誤った判断をさせて、人をその生活環境から離脱させ、自己又は第三者の事実的支配下に置いたか	被害者は１８歳未満か	自ら又は第三者が財産上の利益を得る目的、自らが被害者にわいせつ行為をし又は第三者にわいせつ行為をさせあるいは被害者にわいせつ行為をさせる目的、被害者を自己又は第三者と結婚させる目的、自己又は第三者が被害者を殺害若しくは傷害し、又は暴行を加える目的、のいずれかの目的があったか	近親者その他拐取された者の安否を憂慮する者の憂慮に乗じてその財物を交付させる目的か	人を拐取した後に近親者その他拐取された者の安否を憂慮する者の憂慮に乗じて、その財物を交付させ、またはこれを要求する行為をしたか	被拐取者が現に所在する国の領土、領海及び領空の外に移動させる目的か	対価を支払って売り主からその事実的支配下に置かれた人身の引き渡しを受け、自己の事実的支配下に置いたか	対価を得て事実的支配下に置いた人身を買主に引き渡したか	被拐取者又は被売買者を現に所在する国の領土、領海及び領空の外に移動させたか	未成年者略取及び誘拐、営利目的等略取及び誘拐、所在国外移送目的略取及び誘拐、人身売買、被略取者等所在国外移送の犯人を幇助する目的で、被拐取者又は被売買者を引き渡し、収受し、輸送し、蔵匿し、又は隠避させたか	身代金目的略取誘拐の犯人を幇助する目的で、被拐取者を引き渡し、収受し、輸送し、蔵匿し、又は隠避させたか	自ら又は第三者が財産上の利益を得る目的、自らが被害者にわいせつ行為をし又は第三者にわいせつ行為をさせあるいは被害者にわいせつ行為をさせる目的、自己又は第三者が被害者を殺害若しくは傷害し、又は暴行を加える目的、のいずれかの目的で、被拐取者又は被売買者を引き渡し、収受し、輸送し、蔵匿させたか	近親者その他拐取された者の安否を憂慮する者の憂慮に乗じてその財物を交付させる目的で、被拐取者を収受したか	被拐取者を収受した後に近親者その他拐取された者の安否を憂慮する者の憂慮に乗じて、その財物を交付させ又は要求したか	身代金目的略取誘拐罪を犯す目的で、その準備行為をした。	団体若しくは多人数の威力を示し、団体若しくは多人数を仮装して威力を示し又は凶器を示し若しくは数人共同して行ったか	常習として行ったか	財産上不法の利益を得又は得させることを目的として面会を強制し又は強談威迫の行為をしたか	常習として正当な理由なく面会を強要し又は強談威迫の行為をしたか
脅迫罪	◯																							
強要罪	◯	◯																						
逮捕監禁罪			◯																					
逮捕監禁致傷罪			◯	◯																				
逮捕監禁致死罪			◯		◯																			
未成年者略取及び誘拐罪						◯																		
営利目的等略取及び誘拐罪						◯		◯																
身代金目的略取等罪						◯			◯	◯														
所在国外移送目的略取及び誘拐罪						◯					◯													
人身売買罪												◯												
未成年者人身売買罪							◯					◯												
営利目的等人身売買罪								◯				◯												
人身買受罪													◯											
所在国外移送目的人身売買罪											◯	◯	◯											
被略取者等所在国外移送罪														◯										
被略取者等引渡し等罪															◯	◯	◯	◯	◯					
身代金目的略取等予備罪																				◯				
集団的な脅迫（暴力行為等処罰法違反）																					◯			
常習的な脅迫（暴力行為等処罰法違反）																						◯		
集団的な面会強請・強談威迫（暴力行為等処罰法違反）																							◯	◯
