罪名	大麻草の成熟した茎及びその製品（樹脂を除く）、並びに大麻草の種子及びその製品ではないか	大麻草またはその製品か	自ら又は第三者が利益を得る目的だったか	法律上の資格がないのに栽培、輸入、または輸出をしたか	法律上の資格がないのに所持し、譲り渡し、または譲り受けたか	覚醒剤（覚醒剤の原料も含む）か	法律上の資格がないのに、輸入、輸出、または製造をしたか	法律上の資格がないのに所持し、譲り渡し、または譲り受けたか	覚醒剤を使用したか	ヘロイン（ジアセチルモルヒネ、その塩類、またはこれらのいずれかを含有する麻薬）か	ヘロイン以外の麻薬か	法律上の資格がないのに製剤し、小分けし、譲り渡し、譲り受け、交付し、又は所持したか	許可なく施用し、又は施用を受けたか	向精神薬か	法律上の資格がないのに輸入し、本邦若しくは外国から輸出し、製造し、製剤し、又は小分けしたか	法律上の資格がないのに譲り渡し、又は譲り渡す目的で所持したか	薬機法の指定薬物か	疾病の診断、治療又は予防の用途等以外の用途に供するために製造し、輸入し、販売し、授与し、所持し、購入し、若しくは譲り受け、又は医療等の用途以外の用途に使用したか	あへん煙を輸入し、製造し、販売し、又は販売の目的で所持したか	あへん煙の吸食のために作られた器具を輸入し、製造し、販売し、又は販売の目的で所持したか	税関において輸入に関する事務に従事する職員であるにもかかわらず、あへん煙又はあへん煙の吸食のために作られた器具を輸入し、又はこれらの輸入を許したか	あへん煙を人体内に摂取するために消費したか	あへん煙の吸食のために建物の全部又は一部を提供して財産上の利益を得ようとしたか	あへん煙又はあへん煙の吸食のために作られた器具を、販売目的なく所持したか
大麻所持等（大麻取締法違反）	◯	◯			◯																			
営利目的大麻所持等（大麻取締法違反）	◯	◯	◯		◯																			
大麻栽培等（大麻取締法違反）	◯	◯		◯																				
営利目的大麻栽培等（大麻取締法違反）	◯	◯	◯	◯																				
覚醒剤所持等（覚醒剤取締法違反）						◯		◯																
営利目的覚醒剤所持等（覚醒剤取締法違反）			◯			◯		◯																
覚醒剤輸入等（覚醒剤取締法違反）						◯	◯																	
営利目的覚醒剤輸入等（覚醒剤取締法違反）			◯			◯	◯																	
覚醒剤使用（覚醒剤取締法違反）									◯															
ヘロイン輸入等（麻薬取締法違反）							◯			◯														
営利目的ヘロイン輸入等（麻薬取締法違反）			◯				◯			◯														
ヘロイン所持等（麻薬取締法違反）										◯		◯												
営利目的ヘロイン所持等（麻薬取締法違反）			◯							◯		◯												
ヘロイン施用等（麻薬取締法違反）										◯			◯											
営利目的ヘロイン施用等（麻薬取締法違反）			◯							◯			◯											
麻薬輸入等（麻薬取締法違反）							◯				◯													
営利目的麻薬輸入等（麻薬取締法違反）			◯				◯				◯													
麻薬所持等（麻薬取締法違反）											◯	◯												
営利目的麻薬所持等（麻薬取締法違反）			◯								◯	◯												
麻薬施用等（麻薬取締法違反）											◯		◯											
営利目的麻薬施用等（麻薬取締法違反）			◯								◯		◯											
向精神薬輸入等（麻薬取締法違反）														◯	◯									
営利目的向精神薬輸入等（麻薬取締法違反）			◯											◯	◯									
向精神薬譲渡等目的所持（麻薬取締法違反）														◯		◯								
営利目的向精神薬譲渡目的等所持（麻薬取締法違反）			◯											◯		◯								
指定薬物所持等（薬機法違反）																	◯	◯						
あへん煙輸入等																			◯					
あへん煙吸食器具輸入等																				◯				
税関職員によるあへん煙輸入等																					◯			
あへん煙吸食																						◯		
あへん煙吸食場所提供																							◯	
あへん煙等所持																								◯
