ID（通し番号）	罪名	前科の有無・内容	示談の有無・示談金額	犯行の罪質	過失の内容	被害者側の過失	被害者の数	治療期間	傷害の内容	被害内容	行為態様	動機・犯行に至る経緯（かわいそう度）	被害者・遺族の被害感情	社会的影響	犯人の年齢	犯行後の情状
1		特に交通前科の有無・内容				被害者側の過失（前方不注意・信号無視・速度違反など）	特に死亡事故の被害者数		人損事故の被害者の傷害の内容	物損事故の被害の内容	過失事故以外の行為態様	過失事故以外の動機・犯行に至る経緯			若いほど更生可能性ありと判断	交通事故後の措置の内容、反省の程度・内容、被害者・遺族への対応、近親者・職場等の受容・監督、自車の処分、運転免許返納、再犯防止活動、そのボランティア等の社会的活動
	危険運転致死罪（自動車運転処罰法違反）															
	危険運転致傷罪（自動車運転処罰法違反）															
	自動車運転過失致死罪（自動車運転処罰法違反）															
	自動車運転過失致傷罪（自動車運転処罰法違反）															
	酒気帯び運転罪（道路交通法違反）															
	無免許運転（道路交通法違反）															
	アルコール等影響発覚免脱罪（自動車運転処罰法違反）															
	無免許危険運転致傷罪（自動車運転処罰法違反）															
	無免許危険運転致死罪（自動車運転処罰法違反）															
	無免許危険運転致死罪（アルコール・薬物影響）（自動車運転処罰法違反）															
	無免許危険運転致傷罪（アルコール・薬物影響）（自動車運転処罰法違反）															
	無免許過失運転致死罪（自動車運転処罰法違反）															
	無免許過失運転致傷罪（自動車運転処罰法違反）															
	救護義務違反（道路交通法違反）															
	報告義務違反（道路交通法違反）															
	酒酔い運転罪（道路交通法違反）															
	酒酔い運転幇助（道路交通法違反）															
	酒気帯び運転幇助（道路交通法違反）															
