ID（通し番号）	罪名	前科の有無・内容	犯行の罪質	犯行の規模	準備・計画性の有無、内容	犯行方法	動機・犯行に至る経緯（かわいそう度）	被害者の被害感情	社会的影響	犯人の年齢	犯行後の情状	正当な理由	示談の有無・示談金額
				偽造された通貨、文書、電磁的記録等の量				私文書偽造の場合				名義人の承諾、偽造に当たらないかどうか調査をしたか、等	私文書偽造の場合
	通貨偽造罪												
	偽造通貨行使罪												
	外国通貨偽造罪												
	偽造外国通貨行使罪												
	偽造通貨等収得罪												
	収得後知情行使罪												
	通貨偽造等準備罪												
	詔書偽造罪												
	有印公文書偽造罪												
	無印公文書偽造罪												
	虚偽公文書作成罪												
	公正証書原本不実記載罪												
	電磁的公正証書原本不実記録罪												
	偽造公文書等行使罪												
	有印私文書偽造罪												
	無印私文書偽造罪												
	虚偽診断書等作成罪												
	偽造私文書等行使罪												
	電磁的記録不正作出・供用罪												
	公電磁的記録不正作出罪												
	有価証券偽造罪												
	偽造有価証券行使罪												
	偽造有価証券交付等罪												
	支払用カード電磁的記録不正作出等罪												
	不正作出支払用カード電磁的記録譲渡等罪												
	不正電磁的記録カード所持罪												
	支払用カード電磁的記録不正作出準備罪												
	御璽偽造罪												
	御璽不正使用罪												
	公印偽造罪												
	公印不正使用罪												
	公記号偽造罪												
	公記号不正使用罪												
	私印偽造罪												
	私印不正使用罪												
	不正指令電磁的記録作成罪												
	不正指令電磁的記録供用罪												
	不正指令電磁的記録取得罪												
	偽証罪												
	虚偽鑑定罪												
	虚偽告訴罪												
