ID（通し番号）	罪名	前科の有無・内容	示談の有無・示談金額	犯行の罪質	行為態様	公共の危険の程度	往来の妨害・危険の程度	多衆の規模	過失の内容・程度	被害者の数	治療期間	傷害の内容	被害内容	動機・犯行に至る経緯（かわいそう度）	被害者・遺族の被害感情	社会的影響	犯人の年齢	犯行後の情状
1								騒乱罪、多衆不解散罪に参加した人数		建造物放火や致死事件で死亡した被害者数	致傷事件の被害者の治療期間	致傷事件の被害者の傷害の内容	物損事故の被害の内容	過失犯以外の動機・犯行に至る経緯			若いほど更生可能性ありと判断	反省の程度・内容、被害者・遺族への対応、近親者・職場等の受容・監督、再犯防止活動、そのボランティア等の社会的活動
	騒乱罪																	
	多衆不解散罪																	
	現住建造物等放火罪																	
	非現住建造物等放火罪																	
	非現住建造物等放火罪（自己所有）																	
	建造物等以外放火罪																	
	建造物等以外放火罪（自己所有）																	
	延焼罪（建造物等延焼）																	
	延焼罪（建造物等以外延焼）																	
	消化妨害罪																	
	失火罪																	
	失火罪（自己所有）																	
	激発物破裂罪																	
	激発物破裂罪（自己所有・建造物等以外）																	
	過失激発物破裂罪																	
	過失激発物破裂罪（自己所有・建造物等以外）																	
	業務上失火等罪																	
	ガス漏出等罪																	
	ガス漏出等致死罪																	
	ガス漏出等致傷罪																	
	現住建造物等浸害																	
	非現住建造物等浸害																	
	水防妨害罪																	
	過失建造物等浸害																	
	水利妨害及び出水危険罪																	
	往来妨害罪																	
	往来妨害致死罪																	
	往来妨害致傷罪																	
	往来危険罪																	
	汽車転覆等罪																	
	汽車転覆等致死罪																	
	往来危険による汽車転覆等罪																	
	往来危険による汽車転覆等致死罪																	
	過失往来危険罪																	
	業務上過失往来危険罪																	
	浄水汚染罪																	
	水道汚染材																	
	浄水毒物等混入罪																	
	浄水毒物等混入致傷罪																	
	浄水毒物等混入致死罪																	
	水道毒物等混入罪																	
	水道毒物等混入致死罪																	
	水道損壊及び閉塞罪																	
