ID（通し番号）	罪名	前科の有無・内容	犯行の罪質	行為態様	被害の内容・程度	犯行への関与の程度	動機・犯行に至る経緯（かわいそう度）	社会的影響	犯人の年齢	犯行後の情状
1					国家の作用が害された内容・程度	共犯者内における地位・役割			若いほど更生可能性ありと判断	反省の程度・内容、近親者・職場等の受容・監督、再犯防止活動、そのボランティア等の社会的活動
	公務執行妨害罪									
	職務強要罪									
	封印等破棄罪									
	強制執行妨害目的財産損壊等罪									
	強制執行行為妨害等罪									
	強制執行関係売却妨害罪									
	加重封印等破棄罪									
	公契約関係競売等妨害罪									
	談合罪									
	逃走罪									
	加重逃走罪									
	被拘禁者奪取罪									
	逃走援助罪									
	看守等による逃走援助罪									
	犯人蔵匿等罪									
	証拠隠滅等罪									
	証人等威迫罪									
