ID（通し番号）	罪名	前科の有無・内容	示談の有無・示談金額	犯行の罪質	被害者の数	性的画像の数	犯行態様	同意しない意思を形成し、表明し若しくは全うすることが困難な状態にさせ又はその状態にあることに乗じたこと	被害者の年齢	致傷事件の傷害の内容・治療期間	準備・計画性の有無	犯行の執拗さ	常習性	動機・犯行に至る経緯	被害者・遺族の被害感情	社会的影響	犯人の年齢	犯行後の情状
					致傷事件、致死事件の場合はそれぞれの数も			以下の事由の詳細について ①暴行若しくは脅迫を用いること又はそれらを受けたこと。②心身の障害を生じさせること又はそれがあること。③アルコール若しくは薬物を摂取させること又はそれらの影響があること。④睡眠その他の意識が明瞭でない状態にさせること又はその状態にあること。⑤同意しない意思を形成し、表明し又は全うするいとまがないこと。⑥予想と異なる事態に直面させて恐怖させ、若しくは驚愕させること又はその事態に直面して恐怖し、若しくは驚愕していること。⑦虐待に起因する心理的反応を生じさせること又はそれがあること。⑧経済的又は社会的関係上の地位に基づく影響力によって受ける不利益を憂慮させること又はそれを憂慮していること。	年齢が低いほど悪質	PTSDなど身体の傷害以外も							若いほど更生可能性ありと判断	反省の程度・内容、被害者・遺族への対応、近親者・職場等の受容・監督、性障害治療など再犯防止活動、そのボランティア等の社会的活動
	不同意わいせつ罪																	
	不同意性交等罪																	
	監護者わいせつ罪																	
	監護者性交等罪																	
	不同意わいせつ致傷罪																	
	不同意わいせつ致死罪																	
	不同意性交等致傷罪																	
	不同意性交等致死罪																	
	面会要求等罪																	
	わいせつ目的面会罪																	
	わいせつ映像送信要求罪																	
	性的姿態等撮影罪（性的姿態撮影等処罰法違反）																	
	性的影像記録提供等罪（性的姿態撮影等処罰法違反）																	
	性的影像記録保管罪（性的姿態撮影等処罰法違反）																	
	性的姿態等影像送信罪（性的姿態撮影等処罰法違反）																	
	性的姿態等影像記録罪（性的姿態撮影等処罰法違反）																	
	児童福祉法違反																	
	児童買春（児ポ法違反）																	
	児童買春周旋（児ポ法違反）																	
	業務上児童買春周旋（児ポ法違反）																	
	児童買春勧誘（児ポ法違反）																	
	業務上児童買春勧誘（児ポ法違反）																	
	児童ポルノ所持（児ポ法違反）																	
	児童ポルノ提供（児ポ法違反）																	
	提供目的児童ポルノ製造等（児ポ法違反）																	
	児童ポルノ製造（児ポ法違反）																	
	児童ポルノ公然陳列（児ポ法違反）																	
	児童ポルノ輸入等罪（児ポ法違反）																	
	公然陳列目的児童ポルノ輸入等罪（児ポ法違反）																	
	児童買春目的等人身売買（児ポ法違反）																	
	リベンジポルノ法違反																	
	青少年に対するみだらな性交等の禁止違反（青少年健全育成条例違反）																	
	青少年に児童ポルノ等を求める行為の禁止（青少年健全育成条例違反）																	
	盗撮（迷惑防止条例違反）																	
	痴漢（迷惑防止条例違反）																	
	卑わいな言動（迷惑防止条例違反）																	
