ID（通し番号）	罪名	前科の有無・内容	示談の有無・示談金額	犯行の罪質	被害者の数	身代金の金額	略取・誘拐の目的	強要の内容	告知した害悪の内容	監禁の態様・内容	集団の態様	致死事件の被害者の数	負傷の内容	準備・計画性の有無、内容	共犯者内における地位	常習性	動機・犯行に至る経緯（かわいそう度）	被害者・遺族の被害感情	社会的影響	犯人の年齢	犯行後の情状
					略取・誘拐、監禁、人身売買の被害者の数					凶器の有無・種類、被害者との関係、監禁の期間、監禁中の生活状況、等	集団の人数、脅迫・面会要求・威迫の内容		負傷箇所、治療期間、等							若いほど更生可能性ありと判断	反省の程度・内容、被害者・遺族への対応、捜査への協力、近親者・職場等の受容・監督、再犯防止活動、そのボランティア等の社会的活動
	脅迫罪																				
	強要罪																				
	逮捕監禁罪																				
	逮捕監禁致傷罪																				
	逮捕監禁致死罪																				
	未成年者略取及び誘拐罪																				
	営利目的等略取及び誘拐罪																				
	身代金目的略取等罪																				
	所在国外移送目的略取及び誘拐罪																				
	人身売買罪																				
	未成年者人身売買罪																				
	営利目的等人身売買罪																				
	人身買受罪																				
	所在国外移送目的人身売買罪																				
	被略取者等所在国外移送罪																				
	被略取者等引渡し等罪																				
	身代金目的略取等予備罪																				
	集団的な脅迫（暴力行為等処罰法違反）																				
	常習的な脅迫（暴力行為等処罰法違反）																				
	集団的な面会強請・強談威迫（暴力行為等処罰法違反）																				
