ID（通し番号）	罪名	前科の有無・内容	示談の有無・示談金額	犯行の罪質	被害金額	金銭評価可能な被害以外の被害の内容	性交等の態様・内容	凶器の有無・種類	暴行・脅迫の内容	治療期間	公共の危険の程度	準備・計画性の有無、内容	常習性	動機・犯行に至る経緯（かわいそう度）	被害者・遺族の被害感情	社会的影響	犯人の年齢	犯行後の情状
						毀損された信用、妨害された業務、文書の性質内容、等	強盗・不同意性交等罪、同致死罪について	各種強盗罪	各種強盗罪	強盗致傷罪	放火罪について、媒介物の性質、近傍の建造物の数・種類、建造物以外の物の数・種類		同種犯罪の回数、期間					反省の程度・内容、被害者・遺族への対応、近親者・職場等の受容・監督、再犯防止活動、そのボランティア等の社会的活動
	窃盗罪																	
	不動産侵奪罪																	
	強盗罪																	
	強盗予備罪																	
	事後強盗罪																	
	昏睡強盗罪																	
	強盗致傷罪																	
	強盗致死罪																	
	強盗・不同意性交等罪																	
	強盗・不同意性交等致死罪																	
	詐欺罪																	
	電子計算機使用詐欺罪																	
	背任罪																	
	準詐欺罪																	
	恐喝罪																	
	横領罪																	
	業務上横領罪																	
	遺失物等横領罪																	
	盗品無償譲受罪																	
	盗品有償譲受・有償処分あっせん罪																	
	公用文書等毀棄罪																	
	私用文書等毀棄罪																	
	建造物等損壊罪																	
	建造物等損壊致傷罪																	
	建造物等損壊致死罪																	
	器物損壊等罪																	
	境界損壊罪																	
	信書隠匿罪																	
	現住建造物等放火罪																	
	非現住建造物等放火罪																	
	非現住建造物等放火罪（自己所有）																	
	建造物等以外放火罪																	
	建造物等以外放火罪（自己所有）																	
	延焼罪（建造物等延焼）																	
	延焼罪（建造物等以外延焼）																	
	信用毀損罪																	
	偽計業務妨害罪																	
	威力業務妨害罪																	
	電子計算機損壊等業務妨害罪																	
	常習特殊窃盗罪（盗犯等防止法違反）																	
	常習特殊強盗罪（盗犯等防止法違反）																	
	常習累犯窃盗（盗犯等防止法違反）																	
	常習累犯強盗（盗犯等防止法違反）																	
	常習強盗傷人罪（盗犯等防止法違反）																	
	常習強盗・不同意性交等罪（盗犯等防止法違反）																	
	集団的な毀棄（暴力行為等処罰法違反）																	
	常習的な毀棄（暴力行為等処罰法違反）																	
